artwork_desc,artwork_name
Jonathan Meese b 1970 Tokyo appeared on the international art scene back in 1998 and is now one of the contemporary art world s most enigmatic seductive and rebellious figures He is renowned for his multi faceted work including wildly exuberant paintings that mix personal hieroglyphics and collage installations ecstatic performances and a powerful body of sculptures in a variety of media At the core of his work remains an unrelenting sense of history based on intimate drawings symbols and objects which form the mythological universe of his life s work drawing in the innocent by stander almost by force ,"""BABY ""CAMELOT"" (BEHIND THE WHEEL)"""
 ,Lions Rock
Marisa Merz 1925 2019 Italy was one of the key personalities and the only woman associated with the Arte Povera movement in the late 60s and 70s Known for the unusual use of materials such as copper wire clay and wax the sculptures and drawings of Merz reflect her poetic sensibility and vision for art and life By employing abstract organic figures Merz creates familiar portraits and sculptures which insist on subjectiveness while emitting both a constantly changing message as well as the artist s belief that every shape is fluid and should be able to transform into any other shape Merz does not distinguish between art and life employing handcraft and unconventional materials in order to explore the infinite possibilities of everyday life while in many cases she adopts traditional techniques associated with the female domestic environment such as knitting The idea of home acting as a sphere engulfing privacy familiarity and female concepts is one of the central references to her work ,Untitled
 ,1984/038
 ,1980/017
3 parts,NUMMER 37-39
 ,Lamp in Transit
exhibited Eve Samyuk Building Seoul Korea 2018 ,May Your Shadow Grow Less
exhibited Allover Hite Collection Seoul Korea 2018,Decent Woman
exhibited Young Korean Artists 2019 Liquid Glass Sea National Museum of Modern and Contemporary Art MMCA Korea Gwacheon Korea 2019 5 pieces are sold as a set ,Not Done Yet or Never 
Left What Window is Bearing 1 2019 180x130 oil and acrylic on canvas Right What Window is Bearing 2 2019 180x130 oil and acrylic on canvas exhibited An Angel Whispers solo P21 Seoul Korea 2019,"What Window is Bearing 1, 2"
exhibited An Angel Whispers solo P21 Seoul Korea 2019,An Angel Whispers
exhibited Tarte Audio Visual Pavillion Seoul Korea 2019,There Might be Two Suns
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 4
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 1
Milagritos are a series of objects that recreate the homonymous common practice of living religious syncretism in contemporary Latin America under the appearance of innocuous folklore These miniature objects fill chapels and altars are sold and carried by people as symbols of their wishes Devotees make physical shapes that are literal translations of an expectation a leg for a broken limb a heart for romantic love a key for a house a book for a degree As in ancient pre hispanic practices the act of symbolic representation invokes phenomena in a sort of mimetic ritual This is combined with the sanctification of local legendary characters and results in an example of juxtaposed systems a pre existing universe and a colonizing one ,Pie (Milagritos) 
Milagritos are a series of objects that recreate the homonymous common practice of living religious syncretism in contemporary Latin America under the appearance of innocuous folklore These miniature objects fill chapels and altars are sold and carried by people as symbols of their wishes Devotees make physical shapes that are literal translations of an expectation a leg for a broken limb a heart for romantic love a key for a house a book for a degree As in ancient pre hispanic practices the act of symbolic representation invokes phenomena in a sort of mimetic ritual This is combined with the sanctification of local legendary characters and results in an example of juxtaposed systems a pre existing universe and a colonizing one ,Espiga (Milagritos) 
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 3 
 ,Rapid Buckling of the Loud Song 
 ,Silver Lining
 ,La Bleu J'adoré NO.10-Nature /《致挚爱的蓝》之十-自然
 ,Spring No.2 / 《春》之二
 ,Colors of grey
 ,"Irises, Royal Observatory, Cape of Good Hope"
Untitled 2019 was created using a shallow silicon mould with which Sullivan applies numerous layers and markings of resin mixed paint effectively building the paintings visual depth from front to back Only after the paint and resins have settled is the mould able to be removed revealing the finished work Sullivan s work is held in major institutional collections including the Museum of Modern Art MoMA New York LACMA Los Angeles and The Hammer Museum Los Angeles as well as many prominent international private collections ,Untitled
 ,The Women in the Scenery
 ,May Your Shadow Grow Less
exhibited UTC 7 00 JUN 3PM On the Table solo Kumho Museum of Art Seoul Korea 2018,Fruits 2
 ,Finca Barlovento
Zao Wou Ki Foundation certificate n 2018 27 of 22 June 2018,02.01.64
 ,The Figure
 ,A Woman in Yellow Hat
Born in an industrial city in northeast China near Russia Zhang Yexing s b 1981 China technique got lots of influence from Soviet Union and east Europe His canvas is always heavily painted scrubbed and re covered with layers of oil and pigments Simplicity roughness and profundity co exist in a dynamic and harmonious way on the surface Like screenshots out of Wang Kar wei films the pictures in Yexing s paintings are hunted by loneliness and nostalgia Like the artist himself explained My works are combined with time space props and narration Moments make me excited and give me fantasies in which the real world becomes unreal and far away ,"""陷阱2 ( Trap 2)"""
Wall Drawing 1146 B was exhibited at Galleria Alfonso Artiaco Naples in 2019 during the exhibition Sol LeWitt Lines Forms Volumes 1970s to Present The exhibition explores the evolution of LeWitt s work over time showcasing early examples of the artist s interest in line location and language Wall Drawing 1146 B is emblematic in LeWitt s poetic union of line form and volume visible in the black pencil Scribbles The sphere lit from the left was conceived by the artist in 2005 end first exhibited in February 2005 at Galerie Meert Rihoux Brussels just a few years before his death ,Wall Drawing #1146 B Spheres lit from the left
LIANG Wei b 1981 China is one of China s most original new voices in contemporary painting Her work takes apart imagery of urban environments architecture machinery cinema and classical art to reassemble them into fantastical compositions that suggest an alternative physical plane of existence These meticulous compositions look abstract at first glance but the eye quickly starts to discern familiar shapes and structures that form new narratives in the mind of the viewer The lack of focal point or rather seemingly multiple focal points of her paintings suggest classical Chinese landscapes in which physical space is painted from both the perspective of the viewer and people in the composition The eye follows the narrative but also explores the landscape as it does so In a similar fashion when faced with Liang Wei s works the viewer s eye is guided to different points in the composition by the structure and energy of the brush strokes making discoveries as it does so The extremely detailed nature of Liang Wei work necessitates a long creative process The compositions are grown organically out of chaos but resolve in a sense of equilibrium Many stories seem to be hidden behind the clusters of shapes waiting to burst out from the explosion of brush strokes Her work like contemporary society attempts to build utopian visions out of dystopian realities ,Imagined Decision
Giancarlo Scaglia b 1981 Peru studied Visual Arts in Lima where he developed his career as an artist Scaglia s work reinterpretates social conflicts from the 80 s and the 90 s in Peru His interest for the recontextualization of these events in the arts brought him to question the origin of the artistic vanguards and to reflect about what determinates whether an action or a gesture is considered art ,Golden Aérea 2
Thomas Sch tte s b 1954 Germany work develops in many different areas architectural models installations watercolors banners sculptures in different scales etchings are some of the most expressive mediums the artist uses during the last years Sch tte generates a personal collection of techniques and styles from which draws its material every time He believes that form material and color have their own language which is impossible to translate A few of the issues that concern the artist and are subjects of his work are the problems that contemporary man faces with oneself living with others confronting the present facing his mortality His work is often ironic and critical at the same time ,"""Blumenoval"""
Farida El Gazzar s vintage framed dreamy landscapes of night gardens invite the viewer on a journey of meditation and self reflection They are a peaceful oasis in the emotional desert of modern day life Born in Alexandria and based in Athens El Gazzar draws often inspiration from Egypt artists like David Hockney Thomas Demand and Karen Kilimnik manuscripts byzantine icons from Arab literature and the poetry of C P Cavafy As the artist states about the Nght Garden series Then there is this silence that begins with dusk and evolves into a more magical place to a night that grows It illuminates and magnifies through the stark light that peaks through and draws you into its world Within this discovery is a parallel existence of curiosity and imagination There is a feeling of something hidden waiting to be revealed and acknowledged Yet it only lasts for a brief moment as it is ephemeral Knowing that you have little time to find it makes you anticipate to come back to look for more You can hear your thoughts now and feel your emotions You find yourself in these gardens that night paints and you know somewhat that you are safe again Short Biography Farida El Gazzar was born in 1975 in Alexandria Egypt She is a Greek Egyptian artist based in Athens From 2003 to 2007 she was co founder of the creative team WARDA Her ongoing relationship with the Middle East is a result of her early years in Alexandria and Kuwait and has been realized more recently through her residencies and research in Cairo and Manama Recent Exhibitions Art d Egypt 2019 and 2018 Cairo Opening Remarks Athr Gallery Jeddah 2018 Art Basel Miami solo show in Kabinett section with Kalfayan Galleries 2017 and NP or the Possibilities of Life locus Athens Athens Dream City Gypsum Gallery Cairo 2015 Arabic Without A Teacher Kerameikos Athens Ofthalmofanes Technopolis Athens all 2010 Rehang curators November Paynter and Sylvia Kouvali parallel event to the 11th International Istanbul Biennial Grand Hotal De Londres Istanbul Thirty Posters on Migration IMEPO Hellenic Migration Policy Institute Syntagma Metro Station Athens The Ultimate Experience Al Riwaq Gallery Bahrain all 2009 ,It Isn’t True
 ,1982/013
exhibited An Angel Whispers solo P21 Seoul Korea 2019,A Portrait of a Drenched Dog
 ,In Loving Memory of Chichi 2
In the Frutas series concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Bienvenidos a Nuevo Estilo 
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas #2
Koo Jeong A s series of large watercolour paintings which depict various large rock formations follow as a study to her work Consciousness Dilatation for Real DMZ Project 2013 an exhibition that engaged with a number of sites in proximity to the demilitarized zone in Cheorwon gun Gangwon do between North and South Korea Consciousness Dilatation 2013 is an installation of various sized basalt rocks which Koo collected with Cherwon residents from the land surrounding the DMZ spread in a constellation across the Peace Plaza at DMZ In this work Koo looks at the power of the earth she uses the internal energies of volcanic rocks like a connecting force field as an approach to re connect the two Koreas Within a constellation there is no beginning or end it is all about how elements connect and relate to one another It is the void or the space in between the rocks that contains their power For Koo the void is a metaphoric matter Alejandro Zambra in his short novel Bonsai 2011 considers the void in the same way At the end of the story the lead character Julio learns how to glide the void by taking a taxi explaining how much money he has and asking the driver to drive in any direction until his time is up on the meter Through the watercolour paintings Koo captures smaller voids and relationships that exist between the basalt rocks from the larger constellation The DMZ is a protected conservation wetland according to the Ramsar Convention no ecological material can leave the zone otherwise it could create an imbalance Due to the DMZ being a geographical zone between the two Koreas it has been able to be protected ecological state For Koo this also creates a type of void If this zone was part of either country it would not have been deemed an ecological state As the Korean War led to this division of the Korean Peninsular the subsequent demarcation of the DMZ as an ecological state void between the two countries has come into existence ,3 Works: Body Oral Meaning
 ,San Romano [Untitled 192]
 ,"San Romano, Armstead Homestead"
 ,Untitled (community piece)
 ,SPY
 ,Narcissus
 ,La Bleu J'adoré NO.9-Nature /《致挚爱的蓝》之九-自然
 ,La Bleu J'adoré NO.7-Nature / 《致挚爱的蓝》之七-自然
 ,In the Night
 ,International Hotel
 ,Penetrable - Rainforest
 ,Colors of grey #2
Size White base 98x48x48 cm Bottle 50x34 cm,Klein Bottle with the Image of Its Own Making (after Robert Morris)
 ,Mice-Woman
The diameter of the lower base is 135 cm ,Cheetah
 ,Moon Night of Yehliu 58x120cm
The dimensions with frame are 65 5x81cm the dimensions of the image are 45 5x61cm ,Lake of Boar
The dimensions with frame are 81x66cm the dimensions of the image are 61x46cm ,Rainbow Waterfall
 ,DNA:Study
diptych ,Perdu XXIII
 ,Peach of Immortality
 ,The Golden Conch
 ,Not Done Yet or Never 1
 ,Licking
What Window is Bearing1 2019 180x130 oil and acrylic on canvas What Window is Bearing2 2019 180x130 oil and acrylic on canvas,"What Window is Bearing1,2"
 ,Objects 1
exhibited UTC 7 00 JUN 3PM On the Table solo Kumho Museum of Art Seoul Korea 2018,Objects 3
Zao Wou Ki Foundation certificate n 2014 10 of 28 February 2014,Untitled
Giovanni Anselmo s work derives inspiration from the observation of natural events from the energy inherent in the natural world It represents these forces with a constant reference to an other place or to an infinity that that same natural world creates with reference to man The understanding of the natural has led Giovanni Anselmo to give shape to incredible yet intrinsically ancient events such as the elevation of weight in space the curvature of a surface on a plane or the contortion of material on a base The results are sculptures in which you notice a compressed strength ready to explode ready to break out in every direction Yet it is not an evolving energy rather it is frozen at its limits in a moment of equilibrium ,Senza Titolo
THE BEARD PICTURES series was first presented in 2017 at Galleria Alfonso Artiaco in honor of the 50th anniversary of the artists first meeting THE BEARD PICTURES are violent eerie grotesque lurid and crazed They show a dream like world of paranoia destruction and madness Their strange sickly colors and creeping smashed up absurd landscapes confront the viewer with relentless aggression THE BEARD PICTURES depict a world bereft of reason in which negotiation no longer exists In this piece the artists stand either in front of a barbed wire or mesh fence ora behind one Behind them a blank silvery void extravagant ornamental foliage They wear beards that are surreal and symbolic Beards made of wire mesh beards made of bear foam beards made of flowers Aggressively absurd trashing contemporary artistic niceties but resonant with intense symbolism THE BEARD PICTURES turn history into a mad parade their mood shape shifting between that of science fiction lucid dreaming and Victorian caricature It is a vision and a form which brings to mind Oscar Wilde s account of Walter Pater s Essays Secular and sacred the throwback emblem of hip millennial youth as well as a mark of religious faith the beard is depicted in this work as booth mask and meaning a sign of the times ,PLANE BEARD
Since the late 1960s Lavier has created a complex and eclectic universe based on the continuous exploration of the boundaries between painting and sculpture photography and painting reality and imagination the copy and the original Through light hearted humor and sarcasm Lavier has reworked the notion of the canvas and moreover of the art work in general via juxtapositions and hybridizations creations that are generated by his thoughts on consumerism and authorship With his well known intervention the Van Gogh technique the artist applies a thick layer of impasto on ordinary objects like a piano a radio a refrigerator transforming them from everyday objects into works of art Lavier is a persistent explorer of reality through his artworks he challenges and questions the notion of the identity of the artist and the relationship between the artists ego and the rest of the world each work of his is a sardonic dare towards the insufferable codes and rules of the art system and of contemporary culture ,"""IFFAFA 3"""
Nikos Navridis b 1958 Greece is inspired by the dramatic and literary oeuvre of Samuel Beckett selecting quotations from the writer s texts that behave in an autonomous and independent way The pieces large golden coated surfaces act as a substratum where the luminous phrases of the texts are projected emphasizing the equivocal significance of gold which nowadays acquires an apropos dimension ,"""Don't touch me"""
Rallou Panagiotou b 1978 Greece creates sculptural topologies with composite materiality and formal conciseness Assembled from highly mediated fragments of built environments anatomized commodities and traces of gestures her work collapses distinctions between different orders of objects and technologies via a currency of emotions ,"""No More Black Shoe"""
Ida Tursic Wilfried Mille motivated by rather unconventional attitude to their peers are sharing a strong passion for the pictorial tradition Starting from a database patiently built over these years of 140 000 images grouped by topic the artists mix a more classical tradition with contemporaneity The result is a strong and always various mix of techniques and subject hard to label Abstract and figurative melt together into the same subject leaving the spectator free to focus on every single detail as if they were a separate part in a larger and more complex story ,Starry sky with yellow and clouds
 ,Havanna
 ,1982/003
 ,1980/022
 ,Mop in Transit
 ,Bus Handle in Transit
 ,Bus Handle
exhibited Eve Samyuk Building Seoul Korea 2018,Erase Everything But Love
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 7 
 Milagritos are a series of objects that recreate the homonymous common practice of living religious syncretism in contemporary Latin America under the appearance of innocuous folklore These miniature objects fill chapels and altars are sold and carried by people as symbols of their wishes Devotees make physical shapes that are literal translations of an expectation a leg for a broken limb a heart for romantic love a key for a house a book for a degree As in ancient pre hispanic practices the act of symbolic representation invokes phenomena in a sort of mimetic ritual This is combined with the sanctification of local legendary characters and results in an example of juxtaposed systems a pre existing universe and a colonizing one ,Ojos (Milagritos) 
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 3
 Paisaje del olvido presents a continuation of Sol Calero s recent body of work immersed in the notion of memory and its place in the act of painting In her trajectory Calero has questioned the idea of projection in many different ways how do cultures imagine and present themselves How do we see and describe others What expectations do we have of places and societies labelled as exotic ,"Paisaje, Villa Arson I"
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas friestail 4
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 1
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 7
The series Paisaje del olvido presents a continuation of Sol Calero s recent body of work immersed in the notion of memory and its place in the act of painting In her trajectory Calero has questioned the idea of projection in many different ways how do cultures imagine and present themselves How do we see and describe others What expectations do we have of places and societies labelled as exotic ,"Paisaje, Villa Arson I (Paisaje del Olvido) "
This version of Philippe Parreno s helium fish balloons My Room is Another Fish Bowl was conceived for his commission at the Tate Modern Turbine Hall London 2016 Parreno s fish shaped Mylar balloons float at various heights moving gently through the Tate Modern Turbine Hall in response to human interaction and climatic changes In constant delicate motion the fish indeed appear as if in a large architectural fishbowl Through the fish s ceaseless movement Parreno hopes to activate the senses beyond the visual focusing on how we experience the unfolding of time as an active narrative phenomenon a kind of performance The three species of fish that appear in the Turbine Hall Salmon Smelt and Roache are all native to the Thames but are endangered ,My Room is Another Fish Bowl
 ,La Bleu J'adoré NO.6- People / 《致挚爱的蓝》之六-人文
 ,Girl and wolf
 ,vb84.044.nt
 ,Tripe_06 Pugahm Myo. Thapinyu Pagoda
 ,jpeg CA04
Dimensions canvas 1800 x 1250 x 35mm framed 1830 x 1285 x 55mm ,Untitled
Installation views at his solo exhibition Open Space http anomalytokyo com en exhibition E5 80 8B E5 B1 95 e3 80 80 E3 81 B2 E3 82 8D E3 81 B0 Yosuke Takayama artist page http anomalytokyo com en artist yosuke takayama ,Untitled (Head #63)
 ,DNA: White Painting II
The dimensions with frame are 66x81cm the dimensions of the image are 46x61cm ,Shanhu Pond
The dimensions with frame are 71x56cm the dimensions of the image are 51x36cm ,Yuntan Waterfall
The dimensions with frame are 81x66cm the dimensions of the image are 61x46cm ,Waterfall at Mount Lu
 ,Flare-up
 ,Untitled (with fruits) (One Minute Forever)
 ,Bridged – 2
Motohiko Odani artist page http anomalytokyo com en artist motohiko odani For your viewing please ask the gallery for further information ,SARUSARU Alert and Warning
 ,Spring of Taroko
 ,1982/011
 ,The Intermediate – Carbonous Linked Rings Edged Rocky Island
 ,Old Twosome Crops – Sesame and Shiso
Working in the space between cinema and contemporary art Apichatpong Weerasethakul creates installations videos short and feature films that are often non linear and transmit a strong sense of dislocation and otherworldliness Through the manipulation of time and light Weerasethakul constructs tenuous bridges for the viewer to travel between the real and mythical individual and collective corporeal and chimeric In recent years some of his most important solo exhibitions and screenings have included The Serenity of Madness Oklahoma City Museum of Art United States 2018 Luminous Shadows Contemporary Art Centre CAC Vilnius Lithuania 2018 The Serenity of Madness Museum of Contemporary Art and Design MCAD Manila Philippines School of the Art Institute of Chicago United States 2017 and Para Site Hong Kong China 2016 Tate Film Pioneers Apichatpong Weerasethakul Mirages Tate Modern London 2016 Fireworks Art Gallery of Ontario AGO Toronto Canada 2015 and SCAI The Bathhouse Tokyo 2014 Photophobia Stenersenmuseet Oslo Norway 2013 Primitive HangarBicocca Milan Italy 2013 For Tomorrow For Tonight Ullens Center for Contemporary Art UCCA Beijing 2012 and IMMA Irish Museum of Modern Art Dublin 2011 Apichatpong Weerasethakul Primitive New Museum New York 2011 and Mus e d art moderne de la Ville de Paris 2009 For Tomorrow For Tonight Retrospektive Apichatpong Weerasethakul Filmmuseum M nchner Stadtmuseum Munich Germany 2009 among many others ,Mr. Electrico (For Ray Bradbury)
Haegue Yang seeks to communicate without language in a primordial and visual way often complementing her vocabulary of visual abstraction with sensory experiences that include scent sound light and tactility Combining industrial fabrication and folk craftsmanship Yang explores the affective power of materials in destabilizing the distinction between the modern and pre modern A selection of recent and notable exhibitions include Handles The Museum of Modern Art MoMA New York In the Cone of Uncertainty The Bass Museum of Art Miami Tracing Movements South London Gallery United Kingdom 2019 Chronotopic Travers es La Panac e Montpellier France 2019 Tightrope Walking and its Wordless Shadow Fondazione Furla Milan Italy 2018 Haegue Yang ETA 1994 2018 Museum Ludwig Cologne Germany 2018 Silo of Silence Clicked Core KINDL Centre for Contemporary Art Berlin 2017 18 Lingering Nous Centre Georges Pompidou Paris 2016 An Opaque Wind Park in Six Folds Serralves Foundation Museum of Contemporary Art Porto Portugal 2016 The Malady of Death crire et Lire commissioned by M Sunbeam Theatre Hong Kong 2015 Shooting the Elephant Thinking the Elephant Leeum Samsung Museum of Art Seoul South Korea 2015 Uneven Arrivals Ullens Center for Contemporary Art UCCA Beijing China 2015 quivoques Family of Equivocations Mus e d Art moderne et contemporain de Strasbourg MAMCS and Aubette 1928 Strasbourg France 2013 Honesty Printed on Modesty STPI Creative Workshop Gallery Singapore 2013 Accommodating the Epic Dispersion Haus der Kunst Munich Germany 2012 Arrivals Kunsthaus Bregenz Austria 2011 Voice and Wind New Museum New York 2010 Symmetric Inequality Sala Rekalde Bilbao Spain 2008 Asymmetric Equality REDCAT CalArts downtown center for contemporary arts Los Angeles 2008 ,Non-Folding–Geometric Tipping #41
Although Rirkrit Tiravanija s diverse artistic production eludes classification he has accurately described it as relational a body work focused on real time experience and exchange that breaks down barriers between object and spectator questioning the art object as fetish as well as the sacredness of the gallery and museum display Some of Rirkrit Tiravanija s recent individual exhibitions include untitled 2018 the infinite dimensions of smallness Ng Teng Fong Roof Garden Commission series National Gallery Singapore 2018 The fire is gone but we have the light Rirkrit Tiravanija Korakrit Arunanondchai Johnson Museum of Art Ithaca United States 2016 Tomorrow is the Question Stedelijk Museum Amsterdam 2016 U F O Universal Fantastic Occupation Museo Jumex Mexico City 2015 untitled 2015 tomorrow is on our tongue as today pass from our lips Centro Cultural do Banco do Brasil CCBB Distrito Federal Brasilia 2015 Rirkrit Tiravanija Tomorrow is the Question Garage Museum of Contemporary Art Moscow 2015 FOCUS Rirkrit Tiravanija Modern Art Museum of Fort Worth United States 2014 Without Reality There Is No Utopia Yerba Buena Center for the Arts YBCA San Francisco United States 2013 Portraits Tate Modern London 2013 On air Centre Georges Pompidou Paris 2012 Print Out Museum of Modern Art New York 2012 Rirkrit Tiravanija Chew the Fat Mildred Lane Kemper Art Museum St Louis United States 2009 Rirkrit Tiravanija Demonstration Drawings Drawing Center New York 2008 among others ,"untitled 2017 (fear eats the soul/new york post, tuesday, january 24, 2017)"
Although Rirkrit Tiravanija s diverse artistic production eludes classification he has accurately described it as relational a body work focused on real time experience and exchange that breaks down barriers between object and spectator questioning the art object as fetish as well as the sacredness of the gallery and museum display Some of Rirkrit Tiravanija s recent individual exhibitions include untitled 2018 the infinite dimensions of smallness Ng Teng Fong Roof Garden Commission series National Gallery Singapore 2018 The fire is gone but we have the light Rirkrit Tiravanija Korakrit Arunanondchai Johnson Museum of Art Ithaca United States 2016 Tomorrow is the Question Stedelijk Museum Amsterdam 2016 U F O Universal Fantastic Occupation Museo Jumex Mexico City 2015 untitled 2015 tomorrow is on our tongue as today pass from our lips Centro Cultural do Banco do Brasil CCBB Distrito Federal Brasilia 2015 Rirkrit Tiravanija Tomorrow is the Question Garage Museum of Contemporary Art Moscow 2015 FOCUS Rirkrit Tiravanija Modern Art Museum of Fort Worth United States 2014 Without Reality There Is No Utopia Yerba Buena Center for the Arts YBCA San Francisco United States 2013 Portraits Tate Modern London 2013 On air Centre Georges Pompidou Paris 2012 Print Out Museum of Modern Art New York 2012 Rirkrit Tiravanija Chew the Fat Mildred Lane Kemper Art Museum St Louis United States 2009 Rirkrit Tiravanija Demonstration Drawings Drawing Center New York 2008 among others ,"untitled 2017 (eclipse of the soul, the nation, june 25, 2014)"
